,Gene Name
443,GNA12
444,PWP2
445,CCS
446,SP5
447,RRP8
448,STX3
449,ENTPD5
450,CD46
451,RGPD2
452,SSTR1
453,CTSK
454,MS4A13
455,CSTF1
456,TSPYL1
457,ZKSCAN4
458,RIOX1
459,NFIA
460,ATF3
461,MYL5
462,AL020996.2
463,HS6ST1
464,CYP27A1
465,MRPL57
466,TNFRSF17
467,SERPINA5
468,GABRA2
469,SLFN14
470,XBP1
471,LRRIQ3
472,PGK1
473,PLS3
474,CYP21A2
475,TNFAIP2
476,GPAM
477,CCDC173
478,RAB3GAP2
479,DCN
480,IGLV4-3
481,RESP18
482,BDH2
483,FXYD4
484,TJP3
485,NOTO
486,CD320
487,GALNT1
488,TREX1
489,ABCC11
490,C12orf10
491,RIMBP2
492,FOXD3
493,FAM83D
494,ARHGAP15
495,VHL
496,APIP
497,SART3
498,ALCAM
499,TUSC2
500,DDX23
501,COQ8A
502,PNCK
503,PDGFRA
504,PHF12
505,GBX1
506,KDM4C
507,FAF1
508,TRIP6
509,EBI3
510,KCNK18
511,SLC36A3
512,ORC2
513,PLIN1
514,LRP1B
515,HAP1
516,CCIN
517,DGKQ
518,RPAIN
519,AK1
520,AIMP1
521,FDFT1
522,MAP7D2
523,AOC2
524,BBS10
525,CKLF
526,CHKB
527,TMX2
528,N4BP2L1
529,GRIK1
530,TALDO1
531,METAP1D
532,GGT1
533,ADI1
534,ATP13A1
535,RNF141
536,FAM124B
537,ICAM2
538,GNA13
539,LTB4R
540,ESYT1
541,SENP7
542,ZNF696
543,STK16
544,MAML3
545,MAP3K4
546,RALGPS1
547,CRCP
548,SMG7
549,KLKB1
550,ASB1
551,ZSCAN18
552,MCC
553,WNT2
554,OR2F1
555,TRPV4
556,CREBBP
557,CDK2
558,GABBR1
559,CXCL17
560,CPEB1
561,SHB
562,ELOVL6
563,SSX2B
564,DPH2
565,BBOF1
566,PHF19
567,COX4I2
568,GSDME
569,B4GALT3
570,PNPLA8
571,GSKIP
572,TIMM17B
573,ATPAF1
574,UBE2E3
575,SMIM7
576,MROH1
577,SPEF1
578,FHL5
579,DAZAP2
580,NBPF4
581,AKAP10
582,NLGN3
583,TULP3
584,CIART
585,CTH
586,PTPN21
587,DZIP3
588,RAP1GAP2
589,LEPROTL1
590,DDI2
591,POMGNT2
592,RIPK1
593,TUBA4A
594,KCNU1
595,CTSL
596,CBR1
597,GPR4
598,RPN2
599,ZNF699
600,WRB
601,FP565260.3
602,MAP1LC3C
603,MCHR2
604,WDR60
605,SLC30A7
606,PATE2
607,MS4A6E
608,STN1
609,CTRL
610,AQP12B
611,HEBP2
612,OR4E2
613,AC005726.1
614,PRSS56
615,RASSF5
616,SUZ12
617,GPR3
618,LINC00483
619,VIPR2
620,FAHD1
621,TMEM120B
622,GJC3
623,GALNT5
624,MKS1
625,TMEM60
626,CDH23
627,TICRR
628,ZNF229
629,CHEK1
630,TMEM199
631,ANK3
632,GHRL
633,CDK5R1
634,NMI
635,DXO
636,FCGR1B
637,SPOCK3
638,ZFHX4
639,C10orf90
640,ARL13B
641,NAA35
642,NANOG
643,CCDC158
644,FAM84B
645,STX8
646,ITGA3
647,BAZ1B
648,ATP6V0E2
649,KDM5B
650,EIF2S1
651,GABRR3
652,NT5DC2
653,CINP
654,ARGFX
655,CLDN15
656,NUDT13
657,MKX
658,ARRDC2
659,DIXDC1
660,NPY4R
661,ATAD3A
662,SUPT4H1
663,EHMT1
664,WDYHV1
665,PIWIL2
666,FAM171A1
667,SLC14A2
668,ZBTB20
669,ARMC6
670,SEC11A
671,RPN1
672,PCNX4
673,C2orf69
674,TRIM67
675,RBM24
676,CSF2RA
677,SP6
678,ACSS1
679,CD33
680,CISD2
681,ATP6V0A4
682,PRELID3B
683,KDM3A
684,CTNS
685,SSBP4
686,ABCA3
687,IGLV3-19
688,CSTA
689,PTDSS2
690,MAL2
691,LCN12
692,ALDOA
693,NSUN2
694,SAMD9L
695,STX2
696,ITPR1
697,SETD1A
698,ITIH4
699,STX11
700,UTP4
701,AC008750.8
702,CCND1
703,SIX3
704,PSKH1
705,C2orf88
706,AGFG2
707,IZUMO4
708,SAMM50
709,AGRP
710,CABP7
711,CD99
712,UNC50
713,TEX52
714,ATG5
715,OR2I1P
716,SLC10A4
717,HARS2
718,HLA-G
719,TNR
720,COMMD6
721,AHSA1
722,HCAR2
723,AC005832.4
724,IPO9
725,RET
726,CNOT10
727,PIGM
728,KCTD12
729,CA3
730,SMDT1
731,PSME1
732,RAB11FIP5
733,LRRC2
734,USP21
735,NLRP8
736,AADACL2
737,OCM2
738,SULT1B1
739,IGHV3-38
740,AL590764.2
741,DDX60L
742,EPSTI1
743,SCN5A
744,MCOLN3
745,CTNNB1
746,MRGPRF
747,C17orf49
748,C1orf115
749,RBP5
750,SMAD2
751,GTF2H3
752,ZEB2
753,HCAR1
754,PADI6
755,AC008764.4
756,PLXNB3
757,CCDC124
758,KDM4D
759,B3GNT10
760,RNF24
761,CTSG
762,PLCB4
763,ZAR1
764,RNF41
765,AC092111.3
766,LYRM1
767,GDPD3
768,RPL9
769,ITGA6
770,BTNL8
771,UBR4
772,RELL1
773,TRAPPC1
774,TDRD10
775,RING1
776,KIAA0556
777,DENND1C
778,IGIP
779,SLFN12
780,POU6F1
781,KCNG3
782,RNF212B
783,DEFB123
784,ABLIM2
785,PDE4A
786,IGHV1OR15-1
787,C5orf67
788,C9orf84
789,SPRTN
790,MORN1
791,ANXA2
792,PAX3
793,UST
794,PRRT1B
795,CCL14
796,DLG5
797,SMCO4
798,LRIF1
799,HIC1
800,HIST1H4D
801,SEC16A
802,ZNF664
803,TDRD7
804,WDR93
805,TMEM145
806,RBM42
807,FSCN3
808,PHLDB1
809,KIF13B
810,STIL
811,LASP1
812,IGHV4-61
813,GOLGA8B
814,IGLV7-46
815,NAT16
816,CHPF2
817,ALDH18A1
818,PBX2
819,ZNF354C
820,PCK1
821,CDH17
822,ZNF396
823,HEATR5B
824,CTSA
825,HEATR1
826,SHLD2
827,NDUFA11
828,TIMM22
829,NAPA
830,CD200
831,FBXL4
832,SPAG6
833,NMB
834,MRPL55
835,ORC3
836,LRRC37B
837,SH2B2
838,PRPF39
839,HPCAL4
840,SPCS3
841,WDR89
842,PMFBP1
843,MED18
844,ITGB4
845,WDR25
846,SMIM30
847,CCSER2
848,HIST1H4J
849,TFE3
850,FEZ2
851,UNC80
852,RARA
853,RPL12
854,AC018709.1
855,MGMT
856,TLN1
857,OXCT1
858,KIF14
859,TAF6L
860,WWP2
861,FZD5
862,ANKHD1-EIF4EBP3
863,ITPKC
864,SNED1
865,SIK3
866,SPATA12
867,SFTPC
868,SLC22A31
869,PARM1
870,PRR18
871,FAM117B
872,C2orf71
873,HNRNPD
874,AC011462.1
875,GAREM2
876,PLOD3
877,MAFA
878,ZDHHC3
879,WIPI2
880,RAD50
881,SYTL5
882,MSL2
883,PCMTD1
884,IGHV3-33
885,LARS
886,KCNV2
887,PRRT4
888,ATP13A4
889,AP1B1
890,DBNDD1
891,GAL3ST4
892,DPP8
893,FAM83A
894,PLEKHO2
895,IFNG
896,TRUB1
897,HIKESHI
898,KRCC1
899,UTY
900,OBP2B
901,POC5
902,DPYSL2
903,Z83844.1
904,PGBD5
905,WAS
906,FRYL
907,SLMAP
908,ORMDL1
909,C2orf49
910,ODF1
911,RBP4
912,ANGPTL2
913,AL035078.4
914,GVQW2
915,SET
916,CD300LB
917,SLC25A47
918,SLC17A8
919,TRIM28
920,BICDL1
921,SNX24
922,MBLAC2
923,RPS9
924,SLC6A2
925,SPP2
926,CCDC113
927,LPAR3
928,RBM38
929,FAM153B
930,GGCX
931,CSRP3
932,DNAJB13
933,TRAPPC3
934,FAM24B
935,RGSL1
936,SDCBP2
937,FRMD1
938,TPRG1L
939,ARL6
940,CDH20
941,PDPN
942,CSTF2
943,MPHOSPH8
944,ARHGAP27
945,NAT10
946,CMC1
947,AMHR2
948,PKHD1
949,SIRT4
950,RP1L1
951,RBP2
952,UBR3
953,NALCN
954,NPL
955,NLGN4Y
956,ABHD6
957,MTERF1
958,POLDIP3
959,FAM83F
960,DPT
961,ARHGAP20
962,AATF
963,GALM
964,ZAP70
965,MRPL41
966,BCAT1
967,SCAMP1
968,CARS
969,NAMPT
970,CMTM6
971,UFD1
972,PRMT7
973,LGALS14
974,NOP53
975,CEACAM19
976,FCER2
977,MYBBP1A
978,FTO
979,CDK5R2
980,AC135178.2
981,GATA3
982,BCL11A
983,POLE3
984,SPEF2
985,AMY2B
986,TMEM63A
987,RABL6
988,USP6
989,DYRK2
990,CABP5
991,AMER2
992,MAT2B
993,ZNF831
994,KDM4B
995,SUMO1
996,TMEM108
997,ITGA11
998,PLPPR5
999,IGLL1
1000,SYNGR4
1001,DCT
1002,TXNL1
1003,MARCH8
1004,ACACA
1005,COPB2
1006,ASIC4
1007,POTEM
1008,NEU3
1009,CNKSR1
1010,FBXL3
1011,CCR3
1012,NPIPA2
1013,ARV1
1014,LMTK2
1015,REM2
1016,MCMDC2
1017,AC008403.1
1018,AC138811.2
1019,LRRC57
1020,TPCN1
1021,SDC3
1022,FYB1
1023,CCDC186
1024,TBCE
1025,KIAA1147
1026,TMOD1
1027,SPO11
1028,BAIAP2L1
1029,HSF2
1030,CRMP1
1031,CARMIL1
1032,ZFPM2
1033,C5AR2
1034,SLC5A2
1035,CHTF8
1036,KDM3B
1037,MANBA
1038,ISM1
1039,AC136616.1
1040,CHD2
1041,ACADM
1042,STMN3
1043,CAMK2B
1044,SLC19A1
1045,C6orf58
1046,HSF4
1047,SIX4
1048,SERPINB8
1049,RMDN2
1050,HEPACAM2
1051,DNAJB7
1052,DKK2
1053,ADIPOR2
1054,ADAM10
1055,ABHD13
1056,KARS
1057,SPATA6
1058,NIPA1
1059,GZMB
1060,SMARCAD1
1061,ZBTB17
1062,FCMR
1063,LONRF3
1064,ABHD3
1065,AL360181.3
1066,RAB15
1067,PDE6A
1068,PLCG1
1069,ANGEL2
1070,CRAMP1
1071,HIPK2
1072,SLC18B1
1073,CARD11
1074,SART1
1075,UBE3D
1076,VARS
1077,CYP46A1
1078,GAPDHS
1079,GJB7
1080,PDYN
1081,SLCO1A2
1082,SPDYE6
1083,ITGB8
1084,UFSP2
1085,SLC17A9
1086,HIST1H4I
1087,PRR25
1088,ADAM29
1089,ZNF493
1090,HAND1
1091,GRID1
1092,ZNF677
1093,UBR5
1094,IL11RA
1095,PKDREJ
1096,BIRC3
1097,RBMS3
1098,AC022335.1
1099,RAG2
1100,NEUROG3
1101,OCLN
1102,C2orf83
1103,IRX6
1104,AC138696.1
1105,NAPEPLD
1106,DNAJB11
1107,ADGRG1
1108,KCTD14
1109,HBD
1110,LRRC52
1111,NOTUM
1112,REXO5
1113,SMARCAL1
1114,SHANK2
1115,MIA
1116,GEMIN5
1117,IGKV1D-39
1118,FBXO28
1119,F7
1120,CARNMT1
1121,TFB1M
1122,EMILIN3
1123,ERICH1
1124,PLAC8L1
1125,HSPE1-MOB4
1126,NR1H4
1127,TASP1
1128,SPERT
1129,HSPA9
1130,ANKRD20A8P
1131,CD52
1132,AARS
1133,PAX7
1134,FZD9
1135,AC073111.3
1136,LEFTY1
1137,PNPO
1138,IPP
1139,AP4B1
1140,BANP
1141,AC105052.3
1142,EFCAB13
1143,DLGAP4
1144,NCBP2-AS2
1145,KLHL15
1146,YIPF1
1147,POLQ
1148,YBEY
1149,LAIR1
1150,NPM2
1151,RNF183
1152,ADAMTS19
1153,ARID3A
1154,TEX15
1155,CNOT11
1156,CROCC
1157,NKX3-1
1158,EMC10
1159,FBXO16
1160,CDC73
1161,SLC35F3
1162,GPR33
1163,ACSM6
1164,EFR3B
1165,TMEM169
1166,NQO2
1167,CEP170
1168,CDK20
1169,ACTR1B
1170,GRAMD1B
1171,BEX1
1172,KLHL12
1173,COL18A1
1174,MRPS7
1175,RADIL
1176,CACNA1F
1177,PLCXD1
1178,RFXAP
1179,PAMR1
1180,PHF11
1181,NPPA
1182,TREX2
1183,NCOA2
1184,ABCF3
1185,ZNF449
1186,SRPX
1187,ZNF530
1188,RAB3IP
1189,RALA
1190,FUCA2
1191,ARFIP1
1192,STAT1
1193,SCARB2
1194,ABCA1
1195,AC116366.3
1196,OR51E1
1197,TBC1D8B
1198,SAMD9
1199,CHD9
1200,IGLV10-54
1201,PTBP3
1202,AMMECR1
1203,AZU1
1204,ADAP1
1205,ZNF385A
1206,LY6G5B
1207,ZFP28
1208,TENT4A
1209,LRRC8C
1210,CSTF2T
1211,KRTAP4-12
1212,SYNJ2BP
1213,LY6E
1214,SLC16A7
1215,FAM153A
1216,AC001226.2
1217,UAP1
1218,MYCL
1219,AC139491.7
1220,ASPG
1221,GJB6
1222,CHD8
1223,RAPGEF2
1224,SHANK3
1225,TSC1
1226,C1orf87
1227,NOL4
1228,NUAK2
1229,RAB7B
1230,ZNF257
1231,SLC9A5
1232,IGFBP5
1233,TMUB1
1234,SLC2A11
1235,WWTR1
1236,CHIT1
1237,SCGB1D2
1238,ADM
1239,TBCC
1240,PRKD3
1241,CCDC57
1242,NEUROD2
1243,HOOK3
1244,SLC25A12
1245,EPHB4
1246,APOA4
1247,FSTL4
1248,CHMP2A
1249,BEST2
1250,ERICH2
1251,SFT2D2
1252,PLCB2
1253,CA9
1254,PLEKHA6
1255,AFF3
1256,C2CD4D
1257,TUB
1258,ABCD3
1259,PAX2
1260,VSIG4
1261,HAS2
1262,LIN37
1263,OLA1
1264,SCYL1
1265,SCIN
1266,ITPRIPL2
1267,FCGBP
1268,VCAM1
1269,AC008758.5
1270,C19orf73
1271,HMBS
1272,TOP1
1273,MRPL42
1274,MAP9
1275,SNX29
1276,ASTN2
1277,PYROXD1
1278,GABPA
1279,TMEM39B
1280,AL672142.1
1281,COQ6
1282,GRB2
1283,STAB1
1284,HAPLN4
1285,TANGO6
1286,GLIPR1L1
1287,MICA
1288,TTC8
1289,B4GALNT4
1290,PPP1R35
1291,NCALD
1292,BIN1
1293,CPEB3
1294,FBXL2
1295,NANS
1296,SGK3
1297,RSBN1L
1298,LZTS1
1299,TRPM8
1300,RSPH10B2
1301,ABCC6
1302,C1orf226
1303,PNPLA4
1304,ZBTB24
1305,ACOT11
1306,MCTP2
1307,UPF3B
1308,UBE2F
1309,WDR54
1310,LMF1
1311,BMP3
1312,TRIM55
1313,PLSCR2
1314,C4BPA
1315,AC011841.1
1316,OR51E2
1317,DNAJC2
1318,FAM129B
1319,CFHR5
1320,ZFP2
1321,GFPT2
1322,PRRC2C
1323,ZNF470
1324,NARFL
1325,AC104151.1
1326,HAO2
1327,ANAPC15
1328,DLG2
1329,ZNF366
1330,AC005041.1
1331,AMPH
1332,KLK4
1333,NSF
1334,ARHGAP30
1335,CFAP300
1336,RHOBTB2
1337,KCTD7
1338,GCHFR
1339,GAS8
1340,CAPNS1
1341,MISP3
1342,SPATA21
1343,SLC4A10
1344,CYB561
1345,ACVRL1
1346,TRIM15
1347,AC090360.1
1348,AMZ2
1349,AARS2
1350,AXDND1
1351,IZUMO2
1352,FBXW7
1353,GRIN3A
1354,SEC14L6
1355,C3orf18
1356,PPP1R13B
1357,LCN15
1358,CYBA
1359,PRDX3
1360,EIF4G1
1361,HMX2
1362,CNDP1
1363,PRRG4
1364,PLEKHH1
1365,TAZ
1366,RPL8
1367,AL121845.3
1368,ZC3H11B
1369,B4GALT7
1370,AC009779.3
1371,MYO16
1372,CIITA
1373,MLF2
1374,SLC17A3
1375,ACKR3
1376,CLEC12B
1377,GOLGA8A
1378,ZNF559-ZNF177
1379,ZNF790
1380,C8orf76
1381,MYOZ2
1382,ZNF804B
1383,KIAA1324
1384,VCX3A
1385,LAMB2
1386,RAB6A
1387,TMEM79
1388,SESTD1
1389,CCDC85B
1390,EPC2
1391,CEP85
1392,TMEM215
1393,CALCOCO1
1394,ARHGAP25
1395,SRPRB
1396,MRPL49
1397,PCDHB9
1398,USP12
1399,ZYX
1400,NDUFA2
1401,ATP6V1B2
1402,MED17
1403,KIF20A
1404,CH25H
1405,GPR15
1406,ENPP4
1407,CCDC12
1408,CHMP1B
1409,ADAT3
1410,RUFY2
1411,RGP1
1412,DENR
1413,FGD5
1414,KCTD17
1415,HAUS2
1416,DLEU7
1417,TUBGCP4
1418,AP2S1
1419,PRKCH
1420,NR3C1
1421,PLXDC2
1422,TMCO1
1423,YRDC
1424,ATL3
1425,ZP4
1426,ADCYAP1R1
1427,HSD17B6
1428,NBPF9
1429,ACBD3
1430,STAT3
1431,MAFG
1432,NCOR2
1433,TRIM71
1434,MCF2
1435,RNF157
1436,KLF8
1437,NCOR1
1438,ZSCAN22
1439,DNAJB4
1440,AUTS2
1441,CNTN6
1442,KMT5C
1443,MSANTD3-TMEFF1
1444,CYB561A3
1445,C2orf40
1446,LMO4
1447,RHPN1
1448,AC244197.3
1449,RPLP1
1450,SCAP
1451,CXorf38
1452,GRAP
1453,RILP
1454,AC005324.4
1455,RFX6
1456,CLEC4M
1457,NMRK2
1458,ARID4A
1459,DCDC2B
1460,RAB5B
1461,GLUD1
1462,PARS2
1463,NPAS3
1464,BAG3
1465,CCDC3
1466,KRTAP5-8
1467,TUSC3
1468,GPR1
1469,EFEMP1
1470,TAAR2
1471,CBWD1
1472,NFYB
1473,TNFRSF13B
1474,HACD4
1475,ZNF639
1476,AC104452.1
1477,ZNF549
1478,NQO1
1479,PPP1R1B
1480,CPA2
1481,LMNA
1482,ADAM23
1483,LY96
1484,IGKV1-8
1485,ZNF582
1486,ALDH1L1
1487,LPIN1
1488,RNF185
1489,ZNF302
1490,PRELID1
1491,SLC24A4
1492,RGS2
1493,PITPNM3
1494,CARD9
1495,SERPINB2
1496,LRRC9
1497,CLDN11
1498,FGF5
1499,UNC5A
1500,METTL21A
1501,ENPP3
1502,TMOD3
1503,ABCC8
1504,SKOR2
1505,PIGS
1506,TMUB2
1507,ARG1
1508,NCBP1
1509,LIN54
1510,TRIP10
1511,CNMD
1512,CUBN
1513,PRRC2A
1514,LONRF2
1515,SCAF4
1516,ZNF134
1517,FNIP1
1518,NPTXR
1519,CALU
1520,FHIT
1521,CCSER1
1522,NMUR1
1523,SERPINB1
1524,HABP2
1525,SNRK
1526,KDM2B
1527,SSX2IP
1528,NUDT4B
1529,ANPEP
1530,IL31RA
1531,RIN3
1532,CD93
1533,ABCG8
1534,CHAMP1
1535,FAM210A
1536,AMN
1537,HHIPL2
1538,AL121845.2
1539,ARFGEF2
1540,ARL8A
1541,PIEZO2
1542,RAPH1
1543,AC007192.1
1544,CCL5
1545,TUFM
1546,FLOT2
1547,TNFRSF11A
1548,PDCD10
1549,ADCY8
1550,TPSB2
1551,ADAMTSL1
1552,PLCL2
1553,ATXN2L
1554,CYP7B1
1555,TYRP1
1556,ECI2
1557,PDE8A
1558,MX1
1559,SNAPIN
1560,MMP27
1561,CIP2A
1562,ATP9B
1563,TCN2
1564,TUBAL3
1565,HBS1L
1566,TMPRSS2
1567,HMGB2
1568,WBP11
1569,TMEM161A
1570,AMT
1571,HCFC2
1572,MAP4
1573,KLHL18
1574,SIGLEC6
1575,TMBIM1
1576,TCEAL3
1577,PDGFRL
1578,MEP1A
1579,BACH1
1580,ABHD11
1581,DNAI2
1582,RPL37A
1583,CYLD
1584,TEK
1585,TSNAX-DISC1
1586,IGHG2
1587,AC007325.1
1588,TNFSF12
1589,FIGLA
1590,TFRC
1591,TRIM61
1592,OR2T11
1593,UBE2F-SCLY
1594,SPATA7
1595,CYP1A1
1596,VIPAS39
1597,GRM4
1598,SLC26A1
1599,SERTAD4
1600,DNAJB1
1601,RAB22A
1602,MLIP
1603,CNTN1
1604,FGFR1OP
1605,ZNF674
1606,DGAT2
1607,MFF
1608,KLK1
1609,POLR3C
1610,ERP27
1611,PSORS1C1
1612,MYBPC1
1613,STMN2
1614,MANEAL
1615,KCNK9
1616,ABTB1
1617,AKAP2
1618,FAM104B
1619,PLK1
1620,AIDA
1621,VCPKMT
1622,MTRNR2L4
1623,CD2
1624,SCD5
1625,DCAF15
1626,GPNMB
1627,AC233992.2
1628,SBNO2
1629,ABCB11
1630,AC068775.1
1631,PPP1R17
1632,TERB1
1633,PANX3
1634,TMEM131L
1635,NINJ2
1636,SERPINB3
1637,AC092017.3
1638,NRTN
1639,CCDC117
1640,MED6
1641,GLYCTK
1642,TCF25
1643,HABP4
1644,LRRC38
1645,GRK6
1646,AC010616.2
1647,GIGYF1
1648,DGKI
1649,ROPN1
1650,MFN1
1651,TSG101
1652,RECQL4
1653,ABCC4
1654,ABCB1
1655,ATXN7L2
1656,DCTN1
1657,HELZ
1658,TMEM184B
1659,IGLV4-60
1660,PRR13
1661,NFKB2
1662,AC007240.1
1663,HYAL4
1664,ZNF426
1665,NGRN
1666,ERLIN2
1667,COX6A1
