,mean_no_cancer,mean_cancer,variance_no_cancer,variance_cancer,dif_abs_mean,logFC,abs_logFC
ZADH2,0.0015934576018758586,0.0029655556131043177,9.432552876656785e-06,1.8658331771060836e-05,0.0013720980112284591,0.8957230933259599,0.8957230933259599
GCGR,0.0015934576018758586,0.0029655556131043177,9.432552876656785e-06,1.8658331771060836e-05,0.0013720980112284591,0.8957230933259599,0.8957230933259599
CBR3,0.0015934576018758586,0.0029655556131043177,9.432552876656785e-06,1.8658331771060836e-05,0.0013720980112284591,0.8957230933259599,0.8957230933259599
ZNF343,0.0015934576018758586,0.0029655556131043177,9.432552876656785e-06,1.8658331771060836e-05,0.0013720980112284591,0.8957230933259599,0.8957230933259599
TMEM273,0.0015934576018758586,0.0029655556131043177,9.432552876656785e-06,1.8658331771060836e-05,0.0013720980112284591,0.8957230933259599,0.8957230933259599
STK17A,0.0015934576018758586,0.0029655556131043177,9.432552876656785e-06,1.8658331771060836e-05,0.0013720980112284591,0.8957230933259599,0.8957230933259599
ZNF512B,0.0015934576018758586,0.0029655556131043177,9.432552876656785e-06,1.8658331771060836e-05,0.0013720980112284591,0.8957230933259599,0.8957230933259599
MS4A6A,0.006657862966135198,0.01230438071823861,0.00015977296326344164,0.00031865014747258115,0.005646517752103411,0.8859415381620411,0.8859415381620411
RNF115,0.018657648868702418,0.034435495678553786,0.000804369341713988,0.0018013124871321673,0.015777846809851368,0.8840938189920938,0.8840938189920938
ADH1A,0.0028758061163336205,0.005298040437266714,2.8476360727839665e-05,5.747087111266556e-05,0.002422234320933093,0.8812631434476434,0.8812631434476434
PRORY,0.0028758061163336223,0.005298040437266715,2.8476360727839685e-05,5.747087111266563e-05,0.002422234320933093,0.881263143447643,0.881263143447643
RASGRP4,0.0028758061163336223,0.005298040437266715,2.8476360727839685e-05,5.747087111266563e-05,0.002422234320933093,0.881263143447643,0.881263143447643
RALGAPA2,0.0028758061163336223,0.005298040437266715,2.8476360727839685e-05,5.747087111266563e-05,0.002422234320933093,0.881263143447643,0.881263143447643
NUS1,0.0028758061163336223,0.005298040437266715,2.8476360727839685e-05,5.747087111266563e-05,0.002422234320933093,0.881263143447643,0.881263143447643
ADORA2B,0.002875806116333623,0.005298040437266716,2.8476360727839685e-05,5.747087111266563e-05,0.002422234320933093,0.8812631434476429,0.8812631434476429
PLPP5,0.004575452749751923,0.008380009780844438,7.608425354704236e-05,0.0001508195492541506,0.003804557031092516,0.8728942912266385,0.8728942912266385
KIF22,0.003431871597008901,0.006273258698268748,2.8737572542521032e-05,6.685821381868088e-05,0.0028413871012598468,0.8700291193606823,0.8700291193606823
PIGC,0.0020240045579534563,0.003692110352111386,1.1294044053193101e-05,2.3650908064082653e-05,0.0016681057941579295,0.8669112164155085,0.8669112164155085
DDAH2,0.005225320048630705,0.00951102639282329,8.251823594905505e-05,0.00016940014554105707,0.004285706344192585,0.8639572431920164,0.8639572431920164
FEZ1,0.009944846778787538,0.018094887643590414,0.00020181681502259407,0.00045985246896601924,0.008150040864802876,0.863495765933058,0.863495765933058
SNURF,0.004702710960622118,0.008556756186880165,7.635502571119512e-05,0.00015120555407294105,0.0038540452262580465,0.8634331663086193,0.8634331663086193
SEL1L3,0.003989321196877489,0.0072556961485206175,5.752118655370395e-05,0.00011176056094531793,0.0032663749516431287,0.862807983553233,0.862807983553233
TUBB4B,0.005278298038531696,0.009593782613370579,9.713919350382912e-05,0.000191563332590623,0.004315484574838883,0.8619040055065663,0.8619040055065663
BTBD18,0.024154751374516704,0.04389755190323102,0.0015812403384169846,0.003579017409569602,0.019742800528714313,0.8618066207767996,0.8618066207767996
SMU1,0.0034521677158835884,0.006225341280810827,3.792332383673309e-05,7.552258743928558e-05,0.002773173564927239,0.8504642508531003,0.8504642508531003
KANTR,0.0034521677158835884,0.006225341280810827,3.792332383673309e-05,7.552258743928558e-05,0.002773173564927239,0.8504642508531003,0.8504642508531003
HRK,0.0034521677158835884,0.006225341280810827,3.792332383673309e-05,7.552258743928558e-05,0.002773173564927239,0.8504642508531003,0.8504642508531003
MSX2,0.0034521677158835884,0.006225341280810827,3.792332383673309e-05,7.552258743928558e-05,0.002773173564927239,0.8504642508531003,0.8504642508531003
SDF2L1,0.0034521677158835884,0.006225341280810827,3.792332383673309e-05,7.552258743928558e-05,0.002773173564927239,0.8504642508531003,0.8504642508531003
DISC1,0.0034521677158835884,0.006225341280810827,3.792332383673309e-05,7.552258743928558e-05,0.002773173564927239,0.8504642508531003,0.8504642508531003
MAST3,0.008428551892052948,0.015188870731172102,0.00017605053538518133,0.00036413767455045504,0.006760318839119154,0.849581746416421,0.849581746416421
PKIB,0.007011441694358123,0.012585951100958361,0.00018654002561780571,0.00035335735877317106,0.005574509406600238,0.843940090271324,0.843940090271324
ODF3B,0.00577951565609501,0.01035279415262606,9.748492927046362e-05,0.0001961193353526094,0.00457327849653105,0.8408894403888223,0.8408894403888223
TANK,0.00918746898735002,0.016441554583466557,0.00030303684338756624,0.00057924122227379,0.007254085596116537,0.8395380594157031,0.8395380594157031
THBS3,0.003758315450408846,0.006720470908883982,4.8808199154619876e-05,0.00011091002833170855,0.002962155458475136,0.8383070037148014,0.8383070037148014
CASC3,0.004758097254473672,0.008503860744528514,6.84394082475594e-05,0.00012577332467354784,0.0037457634900548414,0.8375996769459255,0.8375996769459255
HEPHL1,0.0028361012240948813,0.005064827820454901,2.8411964111433334e-05,5.447594131657674e-05,0.00222872659636002,0.8363804179212935,0.8363804179212935
TIAM1,0.0024101516949983797,0.004304149390944317,2.0518544886274636e-05,3.934142119644729e-05,0.0018939976959459373,0.8363408813738641,0.8363408813738641
GPBP1L1,0.0024101516949983797,0.004304149390944317,2.0518544886274636e-05,3.934142119644729e-05,0.0018939976959459373,0.8363408813738641,0.8363408813738641
SOX7,0.0024101516949983797,0.004304149390944317,2.0518544886274636e-05,3.934142119644729e-05,0.0018939976959459373,0.8363408813738641,0.8363408813738641
HAUS3,0.0024101516949983797,0.004304149390944317,2.0518544886274636e-05,3.934142119644729e-05,0.0018939976959459373,0.8363408813738641,0.8363408813738641
LMNB2,0.0024101516949983797,0.004304149390944317,2.0518544886274636e-05,3.934142119644729e-05,0.0018939976959459373,0.8363408813738641,0.8363408813738641
WWC1,0.005492789317980474,0.009801371244842089,0.00010330792055968163,0.00019906968229465273,0.004308581926861615,0.835329201537574,0.835329201537574
AKAP5,0.002400285637596301,0.004281501623795216,2.0151052490315914e-05,3.880226909141679e-05,0.001881215986198915,0.8346467681791725,0.8346467681791725
NUDCD1,0.0024002856375963007,0.004281501623795213,2.015105249031591e-05,3.880226909141677e-05,0.001881215986198912,0.8346467681791716,0.8346467681791716
SLC37A4,0.0024002856375963007,0.004281501623795213,2.015105249031591e-05,3.880226909141677e-05,0.001881215986198912,0.8346467681791716,0.8346467681791716
IZUMO1,0.0024002856375963007,0.004281501623795213,2.015105249031591e-05,3.880226909141677e-05,0.001881215986198912,0.8346467681791716,0.8346467681791716
SMAD3,0.005190871190728947,0.009256187576710652,9.384330303834697e-05,0.0001805518721550044,0.004065316385981705,0.834319364509544,0.834319364509544
DLX3,0.004666851762640572,0.008321435506780694,7.581577999934868e-05,0.00014585304938400956,0.0036545837441401222,0.8342470395172624,0.8342470395172624
PELP1,0.0035776559918450877,0.0063781307143207,3.585996612394942e-05,7.256889139386904e-05,0.002800474722475612,0.833941973594531,0.833941973594531
SEC61B,0.002267104679797214,0.004040511651422995,1.7799005592516752e-05,3.420395047808636e-05,0.0017734069716257806,0.8334077803682828,0.8334077803682828
PDHA1,0.004490263788572492,0.00800191610988146,6.794535912864623e-05,0.00013116965029597488,0.003511652321308968,0.8334043269015882,0.8334043269015882
SYCP2L,0.0018306492814887856,0.003262645883729654,1.1605474232549662e-05,2.2301979953965907e-05,0.0014319966022408683,0.8333412415465247,0.8333412415465247
PABPC4L,0.0018306492814887856,0.003262645883729654,1.1605474232549662e-05,2.2301979953965907e-05,0.0014319966022408683,0.8333412415465247,0.8333412415465247
F11,0.0018306492814887856,0.003262645883729654,1.1605474232549662e-05,2.2301979953965907e-05,0.0014319966022408683,0.8333412415465247,0.8333412415465247
MYH2,0.0018306492814887856,0.003262645883729654,1.1605474232549662e-05,2.2301979953965907e-05,0.0014319966022408683,0.8333412415465247,0.8333412415465247
OR6J1,0.0018306492814887856,0.003262645883729654,1.1605474232549662e-05,2.2301979953965907e-05,0.0014319966022408683,0.8333412415465247,0.8333412415465247
ANKUB1,0.0018306492814887856,0.003262645883729654,1.160547423254965e-05,2.230197995396589e-05,0.0014319966022408683,0.8333412415465247,0.8333412415465247
F5,0.0018306492814887856,0.003262645883729654,1.1605474232549662e-05,2.2301979953965907e-05,0.0014319966022408683,0.8333412415465247,0.8333412415465247
GRTP1,0.024687660377606717,0.043988427228188194,0.0014578250857306835,0.002942857179426421,0.019300766850581477,0.8333082594592485,0.8333082594592485
CXorf36,0.0026609802097187977,0.004740608233265051,2.339603277196863e-05,4.530836556083422e-05,0.002079628023546253,0.832876622009124,0.832876622009124
ZNF365,0.0026609802097187977,0.004740608233265051,2.339603277196863e-05,4.530836556083422e-05,0.002079628023546253,0.832876622009124,0.832876622009124
SLC5A6,0.0026609802097187977,0.004740608233265051,2.339603277196863e-05,4.530836556083422e-05,0.002079628023546253,0.832876622009124,0.832876622009124
RILPL1,0.006022614476945634,0.010718137887688913,9.469310581282439e-05,0.00019294898962644925,0.004695523410743279,0.8314875354754216,0.8314875354754216
CNGB3,0.0023778064872310785,0.004231650214345776,1.323222280523829e-05,2.7457387821491906e-05,0.0018538437271146979,0.8313233542564864,0.8313233542564864
DCAF17,0.012914294545548897,0.022954256187175004,0.0005777917114175108,0.0010870857678116099,0.010039961641626106,0.8297439871656529,0.8297439871656529
TEX43,0.003147978049904869,0.005594168115084313,2.7427418437799272e-05,5.562280954383861e-05,0.002446190065179444,0.8292977786180011,0.8292977786180011
SEH1L,0.003072040261695252,0.005457302620405181,2.5226933257021042e-05,5.1436251702690497e-05,0.002385262358709929,0.8287857143977525,0.8287857143977525
P2RY11,0.0046056705226440045,0.008176993415108481,6.511517152480337e-05,0.00012674134357101432,0.0035713228924644765,0.8280224837223532,0.8280224837223532
CCAR2,0.0027131054477641126,0.004817167289194553,2.275160725089936e-05,4.427755804548446e-05,0.00210406184143044,0.8280077124621648,0.8280077124621648
TEX264,0.013621272696715139,0.0241742077962925,0.0005006071281688146,0.0009763051905897001,0.010552935099577361,0.8275608722493216,0.8275608722493216
SLC7A11,0.004485414598485553,0.007952555248642633,7.603839920466908e-05,0.0001426291473871625,0.0034671406501570797,0.8260369420696515,0.8260369420696515
RAB5C,0.004449725282610949,0.007885509751654387,6.584203024123962e-05,0.00012344897618559288,0.0034357844690434377,0.8253465089884113,0.8253465089884113
HMG20A,0.008834775303813543,0.015637698068887467,0.00027743781872575685,0.0005227759531658457,0.006802922765073924,0.8236917762638089,0.8236917762638089
FBXO47,0.007566521350441843,0.013374635298440306,0.0001934717717352486,0.0003703433296035898,0.005808113947998464,0.8217146709006159,0.8217146709006159
ELK1,0.006826234712886571,0.012064726824248232,0.00012947825466045379,0.0002586627077427126,0.00523849211136166,0.8215415681847377,0.8215415681847377
SFSWAP,0.0032432652391281842,0.005724051247908898,2.520712967063169e-05,5.185536037308781e-05,0.002480786008780714,0.8193968337921813,0.8193968337921813
CYP27B1,0.003993088853624856,0.007039438173477313,5.460964967619503e-05,0.0001040253245013471,0.0030463493198524564,0.8177987924633469,0.8177987924633469
PSIP1,0.004365671108962983,0.007692417311311337,5.943648257969689e-05,0.00011280882033926273,0.0033267462023483536,0.8170906924531637,0.8170906924531637
FAM69A,0.004052370504338949,0.007132441389517826,4.831210215618442e-05,0.00010713507517846382,0.003080070885178877,0.8154761915721394,0.8154761915721394
HIST1H3J,0.005747715436783691,0.01010756181789331,0.00011892490340534091,0.00022122850619091518,0.004359846381109618,0.814266230559694,0.814266230559694
ZNF483,0.006461492914204939,0.011351900784301237,8.294211218015456e-05,0.0001733208571900388,0.004890407870096297,0.8128982695157428,0.8128982695157428
MT-ND3,0.0066674598512719415,0.011703449601554877,0.000146063730901577,0.0002769118522516925,0.005035989750282935,0.8116315938371044,0.8116315938371044
MMP12,0.027148377699181304,0.04761661938817629,0.0024797684373238133,0.004641697834957641,0.020468241688994984,0.8105763659457618,0.8105763659457618
CCR8,0.01049716663518705,0.018386918644819786,0.00033111787531421696,0.000616833321238553,0.007889752009632737,0.8086207858097152,0.8086207858097152
RAB8A,0.002455597182093827,0.004298732715813952,2.4552010499146184e-05,4.463402593785031e-05,0.001843135533720125,0.8075856676728096,0.8075856676728096
AMER1,0.0024555971820938273,0.004298732715813952,2.4552010499146194e-05,4.4634025937850344e-05,0.0018431355337201246,0.8075856676728095,0.8075856676728095
PDK2,0.00210979136824411,0.0036933700870594205,1.8123907242794798e-05,3.294813457326548e-05,0.0015835787188153106,0.8075444079394942,0.8075444079394942
PIGA,0.00210979136824411,0.0036933700870594205,1.8123907242794798e-05,3.294813457326548e-05,0.0015835787188153106,0.8075444079394942,0.8075444079394942
ZFR2,0.00210979136824411,0.0036933700870594205,1.8123907242794798e-05,3.294813457326548e-05,0.0015835787188153106,0.8075444079394942,0.8075444079394942
VTI1A,0.006172632134645186,0.010798206102330675,0.00010332995487854414,0.0002016445786899137,0.004625573967685489,0.8067338319317934,0.8067338319317934
BTG2,0.011137590013307847,0.01947007031109573,0.00040132082833107933,0.0007559991331612749,0.008332480297787884,0.8057655705615169,0.8057655705615169
NPIPB7,0.011993079084374459,0.02095975528143341,0.000406434072862249,0.0007646279081059838,0.008966676197058952,0.8053683120895613,0.8053683120895613
COL6A2,0.00308128856535059,0.005378260008161632,3.217668724982492e-05,6.080206329679175e-05,0.0022969714428110423,0.8034057897294317,0.8034057897294317
GPS1,0.002165235086273712,0.0037793270658664927,1.5888638960383733e-05,3.0023663538401708e-05,0.0016140919795927808,0.8033212417575559,0.8033212417575559
BOLA2B,0.002165235086273712,0.0037793270658664927,1.5888638960383733e-05,3.0023663538401708e-05,0.0016140919795927808,0.8033212417575559,0.8033212417575559
HEXDC,0.002165235086273712,0.0037793270658664927,1.5888638960383733e-05,3.0023663538401708e-05,0.0016140919795927808,0.8033212417575559,0.8033212417575559
CADPS,0.002165235086273712,0.0037793270658664927,1.5888638960383733e-05,3.0023663538401708e-05,0.0016140919795927808,0.8033212417575559,0.8033212417575559
MAP1S,0.002165235086273712,0.0037793270658664927,1.5888638960383733e-05,3.0023663538401708e-05,0.0016140919795927808,0.8033212417575559,0.8033212417575559
ZFP37,0.002165235086273712,0.0037793270658664927,1.5888638960383733e-05,3.0023663538401708e-05,0.0016140919795927808,0.8033212417575559,0.8033212417575559
CCDC24,0.002165235086273712,0.0037793270658664927,1.5888638960383733e-05,3.0023663538401708e-05,0.0016140919795927808,0.8033212417575559,0.8033212417575559
SLC25A34,0.005824328954188691,0.010158837341004236,0.00010208328802699813,0.00019518919223508445,0.004334508386815545,0.8024658791078635,0.8024658791078635
REEP4,0.02503469133317845,0.04363390242461069,0.002036346765562076,0.0038177158567121953,0.018599211091432238,0.8014962766265501,0.8014962766265501
SLC25A35,0.0023918798864599397,0.004168180828462282,1.8250806183320286e-05,3.4163528472162195e-05,0.0017763009420023422,0.8010159661774439,0.8010159661774439
TCP11L2,0.005479751181229283,0.009547592412116479,9.927069813296984e-05,0.00018616871264729958,0.004067841230887196,0.8009144368836186,0.8009144368836186
IFT88,0.0045041479480519425,0.007830365209557578,6.533758752706564e-05,0.00012249167348789104,0.003326217261505636,0.7976893439096275,0.7976893439096275
COL6A1,0.014252397504400239,0.024774816131609912,0.0006307687408516331,0.0011874324609827819,0.010522418627209673,0.7976267339191805,0.7976267339191805
CEACAM3,0.00459358995935113,0.007985378275814125,6.91582750986914e-05,0.00012931267617543343,0.0033917883164629944,0.7976052919725601,0.7976052919725601
H3F3B,0.051290113499875285,0.08914510626541328,0.008197698119490124,0.015356927080677265,0.03785499276553799,0.7974628932999546,0.7974628932999546
CDCA2,0.014490294700123344,0.025148738891528848,0.0006657010489779601,0.0012433516456895727,0.010658444191405504,0.7953569260336222,0.7953569260336222
HJV,0.0030574942784887403,0.005306582254248604,2.3928658917967103e-05,4.722799242332406e-05,0.0022490879757598634,0.7952332472331175,0.7952332472331175
PROKR2,0.004519031900142437,0.007823743501847802,3.3381089703607075e-05,7.292633198224763e-05,0.0033047116017053653,0.7917105062105309,0.7917105062105309
ZNF154,0.006382013270169665,0.011045781900589965,0.00010165538333348414,0.00019390470330931444,0.0046637686304203,0.7913165990675319,0.7913165990675319
THBS1,0.009726354135011658,0.016821218135123855,0.00024249091166327516,0.00045667024269241397,0.007094864000112198,0.7902486014844736,0.7902486014844736
CAPN2,0.009944604317212405,0.017197976127948458,0.0003008763959359122,0.0005661178064220174,0.007253371810736053,0.7901917422020238,0.7901917422020238
KLHL3,0.010791735982652578,0.018658786990419292,0.00041144594665044773,0.0007467386258088803,0.007867051007766714,0.7898718796907455,0.7898718796907455
MUC6,0.002349238072546862,0.004061020962943673,1.6853519526916085e-05,3.13084494251071e-05,0.0017117828903968108,0.7893907798278548,0.7893907798278548
DYNLRB2,0.002349238072546862,0.004061020962943673,1.6853519526916085e-05,3.13084494251071e-05,0.0017117828903968108,0.7893907798278548,0.7893907798278548
LMAN2L,0.0027857970904110727,0.004814794719204446,1.9993092394180024e-05,3.909138220765881e-05,0.002028997628793373,0.7891659341294363,0.7891659341294363
STOX1,0.0027857970904110727,0.004814794719204446,1.9993092394180024e-05,3.909138220765881e-05,0.002028997628793373,0.7891659341294363,0.7891659341294363
NKAPL,0.00563330727593986,0.009726121374234162,0.00010074465980124663,0.00018542564927985692,0.004092814098294302,0.7877746742124943,0.7877746742124943
MTNR1B,0.0018512357765900441,0.003193407420974696,1.0704574604194076e-05,1.9718336049666647e-05,0.001342171644384652,0.7862805734118434,0.7862805734118434
ZBBX,0.0018512357765900441,0.003193407420974696,1.0704574604194076e-05,1.9718336049666647e-05,0.001342171644384652,0.7862805734118434,0.7862805734118434
OR2G6,0.0018512357765900441,0.003193407420974696,1.0704574604194076e-05,1.9718336049666647e-05,0.001342171644384652,0.7862805734118434,0.7862805734118434
PROKR1,0.0018512357765900441,0.003193407420974696,1.0704574604194076e-05,1.9718336049666647e-05,0.001342171644384652,0.7862805734118434,0.7862805734118434
TMEM63C,0.005249917366627927,0.009048562732213588,8.955141441497237e-05,0.00016629499438701833,0.0037986453655856614,0.7852785917456971,0.7852785917456971
STXBP5,0.01787324296884644,0.03076063487097637,0.0010290263975288574,0.0018761923330195365,0.012887391902129928,0.7832500389714957,0.7832500389714957
MED28,0.01577253869889156,0.027063374472083672,0.0007430672990716633,0.0013833746935042637,0.011290835773192114,0.7788886875850264,0.7788886875850264
KIF16B,0.016047340846209738,0.027516172701479318,0.0007265885140989425,0.001355924147100637,0.01146883185526958,0.7779080931254797,0.7779080931254797
FOXD4L5,0.0192773032622498,0.03301867521051745,0.0011627579008192982,0.0021490458312969636,0.013741371948267647,0.7763478481221938,0.7763478481221938
PURG,0.0153471778109963,0.0262813926281861,0.0007562291914586164,0.0013777188952122286,0.010934214817189801,0.7760292339684629,0.7760292339684629
LRRC49,0.021899283895060163,0.03749144174609569,0.0014560247758808233,0.0026135497143760663,0.015592157851035529,0.7756502144418767,0.7756502144418767
PRPF38A,0.01441659518799576,0.024662594110091397,0.000565595107892799,0.001064850168154969,0.010245998922095637,0.7745525048515319,0.7745525048515319
C3orf52,0.012507162497479143,0.021388539087949517,0.0005620518342458142,0.0009988529400565597,0.008881376590470374,0.7740355279499175,0.7740355279499175
RDH16,0.048380077831860435,0.08266694848618925,0.007435374524033584,0.013564438340059699,0.03428687065432881,0.7728851748804575,0.7728851748804575
WNT5B,0.005961958599951226,0.010187550932610404,9.10111703031078e-05,0.00017346505603951134,0.004225592332659178,0.772848653222935,0.772848653222935
GANAB,0.015246814866802683,0.026036921388245062,0.0005360637567399422,0.0010247255414942103,0.01079010652144238,0.7720117746967678,0.7720117746967678
ZNF543,0.003963893611026264,0.006759786785721077,2.7536849709164723e-05,5.834515941179819e-05,0.002795893174694813,0.7699089947509438,0.7699089947509438
LTF,0.0027757484104603625,0.0047330344741657255,2.4214051268476764e-05,4.433713601601822e-05,0.001957286063705363,0.7696737455733828,0.7696737455733828
C1QTNF3,0.0027757484104603625,0.0047330344741657255,2.4214051268476764e-05,4.433713601601822e-05,0.001957286063705363,0.7696737455733828,0.7696737455733828
WFDC2,0.020688190048639803,0.03525786704768092,0.0011842512954105648,0.00216761785226395,0.014569676999041117,0.7691089512219357,0.7691089512219357
SHOX,0.0038679653183353764,0.006582843078701556,2.8106401796845427e-05,5.8468392769831134e-05,0.00271487776036618,0.7669821541173091,0.7669821541173091
KHDRBS1,0.043156550465624874,0.07336509452724936,0.005945695237423997,0.010748966400823,0.030208544061624487,0.7655005059744889,0.7655005059744889
MS4A18,0.011250653242942724,0.01911280966314722,0.000388194940858804,0.0007113859793080041,0.007862156420204495,0.764478360286023,0.764478360286023
ADGRG2,0.003644004346084756,0.006187805195604168,4.880628792726985e-05,8.605257105229834e-05,0.0025438008495194116,0.7637403763578612,0.7637403763578612
SHARPIN,0.019721517376795516,0.03346620072237826,0.0009551794086643435,0.001770956223154366,0.013744683345582747,0.7629041768931839,0.7629041768931839
GPRASP2,0.03293304148201878,0.055882864195833826,0.0032863309236577367,0.005964379303627562,0.022949822713815043,0.7628522197911195,0.7628522197911195
KCNS1,0.0024883969112339576,0.004208533211868288,1.4428645728032264e-05,2.7833842322938476e-05,0.0017201363006343305,0.7578639911154774,0.7578639911154774
SLN,0.004420509170976382,0.007474256693675039,3.978719638423903e-05,8.493227501718554e-05,0.003053747522698657,0.7575842396773157,0.7575842396773157
DDIAS,0.005698356027384178,0.00963204292825887,8.758330735607143e-05,0.00016399478801871237,0.003933686900874691,0.7571926771890839,0.7571926771890839
CCDC50,0.0026965666578052648,0.00455448135851494,1.4367598058522698e-05,2.803339027526642e-05,0.0018579147007096752,0.7559448959390198,0.7559448959390198
FAM169B,0.04911916279629008,0.08288525053888066,0.0070090490775365135,0.012762076901295917,0.03376608774259057,0.7548174601075364,0.7548174601075364
ART3,0.005902577319072952,0.009953237553931191,8.646469943300215e-05,0.00016339041040456457,0.004050660234858239,0.7537213849230211,0.7537213849230211
CD300A,0.005623857381118368,0.009475595498880258,8.894026251722551e-05,0.00015425058584354407,0.00385173811776189,0.7525523417017511,0.7525523417017511
FAM136A,0.0035304823712874246,0.005947612577201643,2.398302339480939e-05,4.981263587026905e-05,0.0024171302059142184,0.7522793263579463,0.7522793263579463
PRH1,0.0029418330378787644,0.0049490497521243295,1.828200293384027e-05,3.670938097765068e-05,0.002007216714245565,0.7502373324949536,0.7502373324949536
PMCH,0.009552221965791063,0.016064718686993208,0.00029948073964341826,0.0005293281555794215,0.0065124967212021444,0.7499262294241933,0.7499262294241933
HCN3,0.006704902190514989,0.011268046552052605,0.00011954044012014783,0.0002232037292102208,0.0045631443615376166,0.7488621117339355,0.7488621117339355
KCNK3,0.03554828913581872,0.0597290661494901,0.003404682698445109,0.006268637815391796,0.024180777013671377,0.7486366083603246,0.7486366083603246
NUDT4,0.0062786458347151766,0.010527305828481619,5.908349542846486e-05,0.00013094674607340667,0.0042486599937664425,0.7455182024367237,0.7455182024367237
LPA,0.005351057287016208,0.008968076060528178,6.73283807100341e-05,0.0001241923489923069,0.0036170187735119702,0.7448658168704093,0.7448658168704093
RFC1,0.02242041965677465,0.037566780941433967,0.001653197359843721,0.0029058405156078522,0.015146361284659317,0.744618273057316,0.744618273057316
ZNF382,0.006783155746648498,0.011359974490785395,0.00012717022875859403,0.00023040575629430408,0.004576818744136897,0.7438453917871897,0.7438453917871897
HIC2,0.005905551031115755,0.009888053148558453,7.798126616567119e-05,0.00014934459856999659,0.003982502117442698,0.7435164392902858,0.7435164392902858
AHI1,0.007944158497772634,0.013293610106638936,0.00020717658516024727,0.0003629586674930086,0.005349451608866303,0.7426935623840223,0.7426935623840223
GCNT1,0.003110933107839505,0.005205050354399396,2.9278749460383666e-05,5.268588564485759e-05,0.0020941172465598914,0.7423782165756965,0.7423782165756965
CTF1,0.004412087021965102,0.007373308846418393,3.696784185197709e-05,7.49471086953627e-05,0.0029612218244532912,0.7407196435962635,0.7407196435962635
RGR,0.0040845244602661064,0.006817026139070638,2.91965052069564e-05,5.97602794413084e-05,0.0027325016788045317,0.7388328409705475,0.7388328409705475
EDC3,0.010689735224964454,0.017819015028574216,0.0002480647237823839,0.00047562609853779754,0.007129279803609763,0.7371374798365099,0.7371374798365099
CCL21,0.009700175463585068,0.016138165855293065,0.00026459930557240746,0.00048012731041971435,0.006437990391707997,0.7343345453509155,0.7343345453509155
LYG2,0.006480952503392266,0.010778684137540871,0.0001475640075405761,0.00025332897185305694,0.004297731634148605,0.7338145509375319,0.7338145509375319
SPON1,0.003474841442470436,0.005772166849203258,2.3947011397096838e-05,4.844556066250098e-05,0.0022973254067328217,0.7320006488003532,0.7320006488003532
IGKV2D-24,0.0021188191266091065,0.003519764543255619,1.4302886156012574e-05,2.4351408262288845e-05,0.0014009454166465127,0.7319475756898753,0.7319475756898753
CAPN8,0.008138607968535475,0.013497026657583613,0.00017961178026705714,0.0003214196959944672,0.005358418689048138,0.7297172919292275,0.7297172919292275
BMP5,0.004272512797235158,0.007073840249349556,5.380922928003093e-05,9.45276622235561e-05,0.002801327452114398,0.7272751294962129,0.7272751294962129
SPPL3,0.023715588059637947,0.039259776553009156,0.0014761226334249922,0.0026860222589864136,0.015544188493371209,0.7271922343467034,0.7271922343467034
